https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1609664400000,2021-01-03 09:00:00,BTC/USDT,34421.40,34650.00,33864.00,34239.04,22251.248,761038871.14330,152727
1609660800000,2021-01-03 08:00:00,BTC/USDT,34476.00,34743.92,33800.00,34420.00,28359.589,972932133.91606,191581
1609657200000,2021-01-03 07:00:00,BTC/USDT,34016.77,34832.25,33801.00,34472.24,38990.593,1342038032.17988,235938
1609653600000,2021-01-03 06:00:00,BTC/USDT,33820.37,34181.26,33715.00,34016.77,16178.256,549816003.89468,115643
1609650000000,2021-01-03 05:00:00,BTC/USDT,33257.00,34220.00,33174.86,33823.58,43260.623,1465204944.72202,271562
1609646400000,2021-01-03 04:00:00,BTC/USDT,32601.49,33330.01,32472.00,33256.95,12864.780,422920690.52558,94639
1609642800000,2021-01-03 03:00:00,BTC/USDT,32765.99,32784.72,32461.25,32601.49,7972.746,260274011.26815,61973
1609639200000,2021-01-03 02:00:00,BTC/USDT,32611.03,32928.16,32590.79,32765.99,6885.509,225704455.74849,62017
1609635600000,2021-01-03 01:00:00,BTC/USDT,32475.94,32832.88,32253.85,32611.14,13146.430,428714611.64042,94357
1609632000000,2021-01-03 00:00:00,BTC/USDT,32198.41,32537.65,32000.02,32478.69,12691.908,409971152.65349,99667
1609628400000,2021-01-02 23:00:00,BTC/USDT,32171.14,32277.11,31650.80,32199.91,17342.394,554106035.85200,112941
1609624800000,2021-01-02 22:00:00,BTC/USDT,31725.56,32323.62,31465.77,32171.14,15856.752,507633388.22411,111425
1609621200000,2021-01-02 21:00:00,BTC/USDT,30884.75,31948.00,30528.00,31722.66,40564.794,1276518608.19693,256053
1609617600000,2021-01-02 20:00:00,BTC/USDT,33115.41,33146.49,30800.00,30912.00,63891.835,2050718004.29309,366441
1609614000000,2021-01-02 19:00:00,BTC/USDT,33100.00,33333.00,32743.02,33115.41,20252.544,670121923.31918,134038
1609610400000,2021-01-02 18:00:00,BTC/USDT,32904.20,33480.00,32487.68,33100.00,29214.312,962255459.10489,184678
1609606800000,2021-01-02 17:00:00,BTC/USDT,32545.48,33000.00,32431.87,32904.20,21370.376,699197718.17521,144243
1609603200000,2021-01-02 16:00:00,BTC/USDT,31720.79,33126.67,31718.43,32543.45,82408.607,2674719235.83192,480425
1609599600000,2021-01-02 15:00:00,BTC/USDT,31337.87,31873.02,31272.42,31717.01,20893.218,659931044.30784,143859
1609596000000,2021-01-02 14:00:00,BTC/USDT,31610.71,31675.04,31123.73,31335.01,26720.425,837293194.84316,175723
1609592400000,2021-01-02 13:00:00,BTC/USDT,30660.11,31638.82,30570.00,31616.51,40675.339,1263889250.74605,266690
1609588800000,2021-01-02 12:00:00,BTC/USDT,29775.00,30960.00,29759.68,30660.12,55925.447,1699928112.20555,335801
1609585200000,2021-01-02 11:00:00,BTC/USDT,29708.24,29810.00,29646.53,29775.52,4936.050,146785027.62332,43019
1609581600000,2021-01-02 10:00:00,BTC/USDT,29642.10,29859.00,29491.09,29708.25,12364.982,367174535.49420,84355
1609578000000,2021-01-02 09:00:00,BTC/USDT,29870.01,29950.00,29600.02,29642.10,15683.827,467105941.69566,101841
1609574400000,2021-01-02 08:00:00,BTC/USDT,29778.77,29898.58,29671.00,29870.00,11105.298,331060265.67716,78966
1609570800000,2021-01-02 07:00:00,BTC/USDT,29733.09,29878.00,29648.00,29777.33,11036.513,328492510.75386,81657
1609567200000,2021-01-02 06:00:00,BTC/USDT,29628.64,29800.00,29483.70,29733.03,12171.545,361025280.40510,90625
1609563600000,2021-01-02 05:00:00,BTC/USDT,29362.97,29633.80,29362.96,29628.65,9433.473,278491799.44961,66168
1609560000000,2021-01-02 04:00:00,BTC/USDT,29364.68,29415.00,29230.00,29363.03,4267.183,125136952.93265,36060
1609556400000,2021-01-02 03:00:00,BTC/USDT,29347.02,29402.59,29266.99,29364.67,4118.911,120855173.15221,35853
1609552800000,2021-01-02 02:00:00,BTC/USDT,29380.00,29500.00,29340.70,29347.02,6230.851,183266045.72766,49649
1609549200000,2021-01-02 01:00:00,BTC/USDT,29215.89,29430.00,29114.22,29380.00,7693.401,225400103.66738,59846
1609545600000,2021-01-02 00:00:00,BTC/USDT,29337.15,29350.00,28958.24,29215.89,11383.003,331833003.02736,74189
1609542000000,2021-01-01 23:00:00,BTC/USDT,29275.64,29350.00,29241.31,29337.16,2821.928,82677480.17484,30635
1609538400000,2021-01-01 22:00:00,BTC/USDT,29177.78,29349.88,29118.40,29270.89,4145.307,121313696.38240,42151
1609534800000,2021-01-01 21:00:00,BTC/USDT,29214.13,29315.00,29160.00,29177.77,3874.626,113253147.59741,36634
1609531200000,2021-01-01 20:00:00,BTC/USDT,29048.48,29299.06,28886.37,29214.14,7608.538,221718316.89692,56317
1609527600000,2021-01-01 19:00:00,BTC/USDT,29086.62,29150.00,28967.17,29048.47,6274.763,182385025.23006,48614
1609524000000,2021-01-01 18:00:00,BTC/USDT,29099.00,29300.00,28627.12,29086.62,20168.624,584844444.93793,119803
1609520400000,2021-01-01 17:00:00,BTC/USDT,29324.21,29368.53,28927.35,29099.00,10867.198,316634136.82072,68420
1609516800000,2021-01-01 16:00:00,BTC/USDT,29210.85,29388.10,29152.20,29324.21,6357.585,186192221.62949,48659
1609513200000,2021-01-01 15:00:00,BTC/USDT,29354.57,29411.93,29043.75,29210.84,11230.179,328265426.47302,73887
1609509600000,2021-01-01 14:00:00,BTC/USDT,29493.69,29570.00,29280.32,29354.58,8107.179,238572377.60790,62247
1609506000000,2021-01-01 13:00:00,BTC/USDT,29257.99,29509.59,29238.39,29493.66,8216.882,241554223.20878,60153
1609502400000,2021-01-01 12:00:00,BTC/USDT,29342.00,29668.86,29158.11,29257.82,21588.712,635139450.47585,128407
1609498800000,2021-01-01 11:00:00,BTC/USDT,29259.30,29454.45,29248.66,29341.99,7231.306,212233378.20685,57806
1609495200000,2021-01-01 10:00:00,BTC/USDT,29230.00,29398.74,29188.00,29259.29,5964.835,174739578.12659,51490
1609491600000,2021-01-01 09:00:00,BTC/USDT,29025.90,29333.12,29000.00,29229.60,7225.092,211032556.39422,53455
1609488000000,2021-01-01 08:00:00,BTC/USDT,29107.72,29190.00,28900.00,29025.89,9141.397,265445607.62602,63638
1609484400000,2021-01-01 07:00:00,BTC/USDT,29198.01,29214.96,28822.00,29107.71,10153.425,294573962.77068,64740
1609480800000,2021-01-01 06:00:00,BTC/USDT,29213.80,29283.00,29112.10,29197.30,3977.249,116099514.67533,39276
1609477200000,2021-01-01 05:00:00,BTC/USDT,29237.06,29249.31,29110.89,29213.80,4199.729,122573099.21836,36831
1609473600000,2021-01-01 04:00:00,BTC/USDT,29302.11,29422.32,29086.00,29237.07,8351.683,244391093.21475,59332
1609470000000,2021-01-01 03:00:00,BTC/USDT,29236.58,29379.41,29174.95,29302.11,5579.452,163398239.78693,47082
1609466400000,2021-01-01 02:00:00,BTC/USDT,29443.65,29500.00,29159.16,29237.06,10049.720,294664070.72756,69148
1609462800000,2021-01-01 01:00:00,BTC/USDT,29015.00,29546.42,28975.46,29448.40,19543.401,573639378.82902,127126
1609459200000,2021-01-01 00:00:00,BTC/USDT,28948.19,29055.00,28706.00,29015.00,8037.588,232164597.07348,65942
